timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1753271455.6403487,-0.006,-0.022,1.03,-2.708,1.991,-0.328,-514.015,96.775,22.241
1753271455.7599833,-0.004,-0.023,1.032,-2.823,1.9,-0.328,-512.744,96.957,21.715
1753271455.8798833,-0.005,-0.021,1.03,-2.708,1.923,-0.259,-514.923,96.593,21.015
1753271455.9995966,-0.004,-0.02,1.029,-2.724,1.968,-0.198,-513.652,97.501,22.591
1753271456.1189306,-0.004,-0.02,1.03,-2.693,2.014,-0.42,-513.652,98.591,21.891
1753271456.2401397,-0.007,-0.021,1.033,-2.769,1.938,-0.313,-512.2,97.864,20.84
1753271456.358752,-0.006,-0.02,1.028,-2.716,1.961,-0.351,-514.56,97.32,21.715
1753271456.4783268,-0.007,-0.021,1.026,-2.785,2.014,-0.282,-513.652,95.686,19.439
1753271456.5979419,-0.006,-0.021,1.029,-2.708,1.984,-0.305,-514.56,94.778,20.665
1753271456.7165382,-0.006,-0.022,1.033,-2.716,1.984,-0.32,-515.649,96.593,20.314
1753271456.8376112,-0.006,-0.021,1.03,-2.754,1.923,-0.336,-513.834,96.957,20.314
1753271456.9594986,-0.005,-0.022,1.033,-2.861,1.923,-0.282,-513.471,95.867,21.715
1753271457.0810778,-0.004,-0.02,1.03,-2.686,1.953,-0.359,-512.2,96.412,21.54
1753271457.2034843,-0.006,-0.021,1.036,-2.678,1.961,-0.336,-514.197,96.23,22.066
1753271457.3254733,-0.005,-0.02,1.029,-2.686,1.984,-0.336,-512.926,96.775,22.591
1753271457.4475663,-0.005,-0.02,1.036,-2.808,1.938,-0.359,-513.652,98.954,21.891
1753271457.5688446,-0.004,-0.019,1.034,-2.625,1.976,-0.336,-513.107,96.957,21.715
1753271457.6902673,-0.003,-0.021,1.032,-2.739,1.945,-0.336,-513.834,95.867,19.964
1753271457.8114595,-0.005,-0.02,1.03,-2.701,1.9,-0.305,0,0,0
1753271457.9324086,-0.005,-0.022,1.025,-2.686,1.93,-0.32,-512.018,94.778,21.365
1753271458.0536315,-0.005,-0.021,1.032,-2.754,2.045,-0.32,-513.107,96.593,19.964
1753271458.17394,-0.004,-0.021,1.031,-2.731,1.839,-0.267,-512.2,96.049,21.19
1753271458.2934825,-0.007,-0.02,1.029,-2.769,1.884,-0.427,-515.468,97.501,21.19
1753271458.4136674,-0.006,-0.023,1.033,-2.769,1.968,-0.298,-514.378,97.501,22.941
1753271458.5334866,-0.006,-0.021,1.028,-2.716,1.892,-0.328,-512.018,95.504,19.964
1753271458.6534576,-0.006,-0.02,1.029,-2.655,1.976,-0.32,-513.471,97.32,22.066
1753271458.7741432,-0.006,-0.021,1.031,-2.716,1.968,-0.244,-514.378,96.775,21.19
1753271458.8940208,-0.005,-0.02,1.033,-2.716,1.923,-0.336,-514.923,96.23,21.365
1753271459.0149078,-0.004,-0.022,1.03,-2.724,1.854,-0.298,-515.105,96.775,19.439
1753271459.1366644,-0.006,-0.019,1.03,-2.701,1.923,-0.298,-512.563,97.138,20.84
1753271459.2584941,-0.006,-0.022,1.03,-2.724,1.892,-0.343,-514.742,97.501,22.941
1753271459.3802848,-0.005,-0.02,1.031,-2.701,1.938,-0.381,-513.652,95.686,20.84
1753271459.5030189,-0.005,-0.022,1.033,-2.693,1.953,-0.282,-516.194,96.775,19.089
1753271459.6245928,-0.007,-0.021,1.032,-2.708,1.869,-0.389,-514.742,97.501,22.591
1753271459.7461557,-0.005,-0.02,1.03,-2.724,1.991,-0.336,-514.197,96.23,21.365
1753271459.86823,-0.005,-0.023,1.032,-2.708,1.984,-0.244,-513.107,97.32,22.416
1753271459.9892528,-0.007,-0.021,1.03,-2.724,1.923,-0.244,-514.378,97.864,21.54
1753271460.111341,-0.006,-0.018,1.028,-2.747,2.014,-0.305,-512.744,96.593,22.766
1753271460.2366261,-0.005,-0.022,1.032,-2.647,1.862,-0.267,-512.926,96.049,20.84
1753271460.359086,-0.005,-0.021,1.032,-2.67,2.014,-0.305,-514.015,96.049,23.291
1753271460.4814065,-0.006,-0.019,1.028,-2.853,1.984,-0.282,-512.744,96.957,22.766
1753271460.6017597,-0.005,-0.022,1.028,-2.731,1.968,-0.282,-514.197,98.046,21.715
1753271460.7234037,-0.004,-0.02,1.027,-2.67,1.854,-0.351,-512.2,98.591,20.84
1753271460.8436723,-0.006,-0.019,1.032,-2.792,1.999,-0.244,-513.289,95.686,21.891
1753271460.96427,-0.005,-0.023,1.031,-2.693,1.923,-0.237,-514.197,97.32,19.264
1753271461.0844548,-0.005,-0.021,1.033,-2.724,1.9,-0.389,-511.837,97.501,20.49
1753271461.205294,-0.005,-0.019,1.033,-2.724,2.007,-0.32,-512.2,96.412,21.19
1753271461.3257494,-0.005,-0.021,1.029,-2.739,1.938,-0.32,-513.471,96.23,23.467
1753271461.4464107,-0.007,-0.019,1.031,-2.632,1.991,-0.359,-511.837,96.412,21.19
1753271461.5680842,-0.005,-0.022,1.031,-2.739,1.976,-0.298,-515.468,96.412,21.891
1753271461.6901255,-0.008,-0.021,1.028,-2.724,1.938,-0.404,0,0,0
1753271461.8110487,-0.008,-0.021,1.029,-2.754,1.953,-0.313,-514.015,95.686,20.49
1753271461.9346292,-0.004,-0.019,1.029,-2.67,1.938,-0.275,-514.923,98.409,21.015
1753271462.056567,-0.005,-0.022,1.029,-2.701,1.892,-0.343,-514.56,98.409,22.766
1753271462.1796408,-0.005,-0.021,1.029,-2.67,1.915,-0.381,-512.563,96.049,22.241
1753271462.3017483,-0.005,-0.022,1.032,-2.701,1.976,-0.343,-512.744,95.867,21.365
1753271462.4246154,-0.006,-0.021,1.029,-2.8,1.961,-0.32,-514.378,97.501,20.84
1753271462.5469527,-0.007,-0.018,1.028,-2.632,1.938,-0.275,-512.926,97.138,22.941
1753271462.6691241,-0.006,-0.019,1.029,-2.678,1.991,-0.244,-514.923,94.778,21.015
1753271462.7915466,-0.005,-0.021,1.027,-2.64,1.907,-0.298,-513.289,95.323,22.591
1753271462.912486,-0.006,-0.021,1.028,-2.678,1.953,-0.374,-513.107,95.141,21.365
1753271463.0335252,-0.006,-0.02,1.033,-2.739,1.93,-0.298,-511.837,96.412,22.241
1753271463.1539233,-0.005,-0.021,1.033,-2.815,2.007,-0.351,-514.56,95.867,23.116
1753271463.2744803,-0.005,-0.021,1.031,-2.708,2.029,-0.313,-515.286,95.141,22.066
1753271463.394545,-0.006,-0.02,1.029,-2.693,1.945,-0.282,-510.384,96.049,21.891
1753271463.5145988,-0.006,-0.02,1.029,-2.625,1.923,-0.359,-513.471,95.504,18.913
