timestamp,fps,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
1753101868.508486,8.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101868.6467333,8.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101868.7817554,9.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101868.9213064,9.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101869.057541,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101869.1963742,9.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101869.3319054,9.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101869.4726174,9.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753101869.6160777,8.89,-0.027072967410243794,0.041637341367631316,-0.005778086119721517,0.9999466043492088,-0.0052942920120452154,-0.008874622390739583,0.0049284221918558585,0.999157083508074,-0.04075332048236891,0.009082901804260997,0.04070740654636484,0.9991298253715996
1753101869.7514932,8.6,-0.022877878655019737,0.03336999836719887,-0.05491109198512724,0.999957325515812,-0.0011643540210421195,0.009164683681290886,0.0017033832120935738,0.9982547733787671,-0.0590297036426523,-0.009079957758557838,0.059042795548824294,0.9982141567123172
1753101869.9019089,9.27,0.019158747064281046,0.006867220729493312,-0.049386177066432516,0.9999226127025678,0.0055750024102740724,0.011121508629518592,-0.005342074854994247,0.9997680348292937,-0.020864773418765498,-0.011235249988969513,0.020803746818740716,0.9997204475632111
1753101870.0357091,8.1,-0.010540716590960049,0.04463705829448359,-0.0632202348693089,0.9991459696674444,0.005029179690783627,0.041012664494518,-0.0029112020929862024,0.9986667307331019,-0.051539167913658764,-0.04121718330594434,0.051375755746231454,0.9978284800113834
1753101870.1779246,9.34,0.0014208945547332181,0.04228904192236588,-0.11171153974465696,0.9974815920530282,-0.0016235995889701243,0.07090724532606382,0.0053337686319385935,0.9986241663856641,-0.05216632268732933,-0.07072499153436991,0.052413149446608555,0.996117883253559
1753101870.3212826,8.83,-0.009681154263066136,0.05095141592028756,-0.15968765715418592,0.9969107465429158,0.001999686591482637,0.07851728905650038,0.003937004744230909,0.9971469249588288,-0.07538242526475418,-0.07844401456382759,0.0754586727864214,0.9940586125980809
1753101870.4555151,8.7,-0.009681154263066136,0.05095141592028756,-0.15968765715418592,0.9969107465429158,0.001999686591482637,0.07851728905650038,0.003937004744230909,0.9971469249588288,-0.07538242526475418,-0.07844401456382759,0.0754586727864214,0.9940586125980809
1753101870.5948794,9.2,-0.009681154263066136,0.05095141592028756,-0.15968765715418592,0.9969107465429158,0.001999686591482637,0.07851728905650038,0.003937004744230909,0.9971469249588288,-0.07538242526475418,-0.07844401456382759,0.0754586727864214,0.9940586125980809
1753101870.7363954,9.08,-0.003738444232879895,0.04885474082292925,-0.20928894911849089,0.9978050624077427,0.004057702475613283,0.06609532876158242,0.00018235436197108784,0.9979486863897558,-0.06401863853477385,-0.06621951510218743,0.06389017438995478,0.995757511363109
1753101870.8739808,8.69,-0.0465862358107671,0.06260626958222874,-0.23108257830941353,0.998078151601105,0.00015525775071025926,0.06196756564166618,0.002848402607748133,0.9988249306388853,-0.048380208110430596,-0.06190226085618756,0.04846373726050547,0.9969048983085781
1753101871.0127766,9.14,-0.04318664746400672,0.057233052703059756,-0.28067664404522275,0.9989889657076082,-0.0033331986372391992,0.04483231179952267,0.004995298106715885,0.9993023021097638,-0.037012916596102126,-0.044677660987006984,0.03719944603041444,0.9983086235347061
1753101871.1453793,8.89,-0.04318664746400672,0.057233052703059756,-0.28067664404522275,0.9989889657076082,-0.0033331986372391992,0.04483231179952267,0.004995298106715885,0.9993023021097638,-0.037012916596102126,-0.044677660987006984,0.03719944603041444,0.9983086235347061
1753101871.2799103,9.63,-0.04318664746400672,0.057233052703059756,-0.28067664404522275,0.9989889657076082,-0.0033331986372391992,0.04483231179952267,0.004995298106715885,0.9993023021097638,-0.037012916596102126,-0.044677660987006984,0.03719944603041444,0.9983086235347061
1753101871.4147542,9.25,-0.019595354204430315,0.013232744233903304,-0.2779520172853407,0.9997884377632047,-0.0011158505100936323,0.020538612237727065,0.0018990747301547,0.9992700539553707,-0.038154328498851905,-0.020481045632043778,0.03818526084326497,0.9990607652310989
1753101871.5532887,9.36,-0.035898949719023444,0.023397195380969786,-0.23179059636231258,0.9995694768293584,-0.0009657211860641861,0.029324535353107,0.002254068851700608,0.9990319408175167,-0.04393290793921684,-0.029253720527423945,0.043980093326125735,0.9986040112208282
1753101871.7470255,9.1,-0.06137557294189733,0.03302982693178346,-0.1898602479147349,0.9988073522351759,-0.000818259808896689,0.04881806603957825,0.004126727439135823,0.9976965663439475,-0.0677091694391406,-0.04865021317119333,0.06782987510220236,0.9965100424993301
