timestamp,fps,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
1753097892.82218,9.25,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097892.9636188,9.23,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097893.1067684,9.67,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097893.2552066,9.31,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097893.408846,8.98,0.034192775999162824,0.026619243758283007,-0.1274966400517753,0.9999618943840647,-0.0011058584753983395,0.008659495185414598,0.0014062205015081947,0.99939480511437,-0.034756956919612794,-0.008615818227827414,0.03476780964402367,0.9993582776406169
1753097893.5610263,8.65,0.08419087112692357,0.026689554783933197,-0.12792743096668524,0.9999618943840647,-0.0011058584753984328,0.008659495185413776,0.00140622050150826,0.99939480511437,-0.03475695691961242,-0.00861581822782659,0.034767809644023734,0.9993582776406169
1753097893.7110417,8.6,0.13390853357257745,0.031826050182098574,-0.12925806180904031,0.999990842978396,-0.003932112195129832,0.0016889206739913345,0.003997997167464086,0.9991527479899835,-0.040960983908022434,-0.0015264265482081859,0.04096736112747854,0.999159319300101
1753097893.8674166,8.85,0.09082565615047894,0.02891821243903227,-0.1544654054808476,0.9999203102420722,-0.0013510018487924316,0.012551811000969516,0.0018640549484351908,0.999159315580992,-0.040953478324465255,-0.012485930664101811,0.04097361201710079,0.9990822111586819
1753097894.022396,8.37,0.0962470781566306,0.04088108731924633,-0.10622125748908495,0.9997498761416351,0.002721016435314579,0.022198676184518772,-0.0018909323128848236,0.9993012386374451,-0.037329061502479895,-0.022284737597166225,0.03727774841948828,0.999056434813868
1753097894.1827652,8.63,0.1461185170728407,0.037348417914694676,-0.10562144640995341,0.9999796173702757,-0.006352815518382806,0.000637635465795458,0.006371021142887152,0.9993853640389397,-0.03447178896362159,-0.0004182506362355962,0.034475148726946236,0.9994054678590956
1753097894.344907,8.28,0.196117497433142,0.037666968959209145,-0.10564235890922738,0.9999796173701537,-0.006352815563044871,0.0006376352121133277,0.006371021178777516,0.9993853640386696,-0.034471788964814704,-0.00041825038116109417,0.03447514872654179,0.9994054678592161
1753097894.5012836,8.08,0.2461163004031316,0.038012152998266886,-0.10566706255623522,0.9999796266110085,-0.0063535276226300294,0.000615670088058811,0.006370976870269979,0.9993852508200325,-0.0344750793631939,-0.00039625323635164686,0.03447829940888337,0.9994053681330919
1753097894.6552222,8.49,0.2958578508806095,0.04027965766659918,-0.1011243213808283,0.9999502196176059,-0.0039660481956948134,0.009155804083342139,0.004317461947853354,0.9992420750521495,-0.03868636669167423,-0.008995432676195158,0.03872397070528079,0.9992094556617152
1753097894.8085172,8.66,0.31034017606166564,0.047786974084804916,-0.05386014426944541,0.9996908111562623,-0.00015167941068419091,0.024864816168472383,0.0011184781135971764,0.9992435370370395,-0.03887290439901871,-0.024840110636730073,0.038888696083339946,0.9989347517333097
1753097894.9644058,8.68,0.360324716263998,0.04784289799010942,-0.05510214979409846,0.9996908111558714,-0.00015167940568344603,0.024864816184219252,0.0011184781092385264,0.9992435370370019,-0.03887290440010746,-0.02484011065265791,0.038888696084322404,0.9989347517328754
1753097895.1243587,8.39,0.40949754099820207,0.03973803668638084,-0.0591449697927918,0.9999989625784583,-0.0012659818156880024,0.0006871186587514419,0.0012906892617317598,0.9993056911598498,-0.0372353291480435,-0.0006395023365897635,0.037236177375987306,0.9993062884477318
1753097895.2801037,8.24,0.42721376937611666,0.05738369081980813,-0.01584639961787418,0.9998977703473466,-0.002440488340248065,0.014088749805011846,0.0029632925268776606,0.9993031817220693,-0.03720712159718847,-0.013988128960201997,0.03724506701308346,0.9992082551857644
1753097895.437766,8.53,0.4772086589926172,0.057531845801185116,-0.016545749552538923,0.9998977728685293,-0.002440525728960118,0.01408856439540837,0.0029633229867413523,0.9993031816308401,-0.037207121621482715,-0.013987942287324546,0.037245067010894,0.9992082577991019
1753097895.5937672,8.41,0.5265790181730412,0.05085454906844964,-0.020786205436468676,0.9997773481302429,-0.00990637611459689,-0.01863109975114682,0.009302638536585132,0.9994376058095843,-0.03221696773228077,0.018939775128513508,0.032036476177654406,0.9993072345941443
