frame_idx,t_capture_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[20, 1.522064208984375, 56.91671371459961, 2.0194053649902344, 2.5370121002197266, 62.995195388793945, 15.874226499786165]"
"[21, 1.4309883117675781, 57.759761810302734, 2.187013626098633, 2.5010108947753906, 63.878774642944336, 15.654652200039562]"
"[22, 1.2845993041992188, 54.99982833862305, 1.9664764404296875, 2.5017261505126953, 60.75263023376465, 16.460192688813454]"
"[23, 1.241445541381836, 54.87203598022461, 1.9261837005615234, 2.5222301483154297, 60.5618953704834, 16.512032753971223]"
"[24, 0.9405612945556641, 55.21202087402344, 1.9078254699707031, 2.675294876098633, 60.73570251464844, 16.464780328486636]"
"[25, 1.2857913970947266, 57.30581283569336, 1.9428730010986328, 2.5026798248291016, 63.03715705871582, 15.863659572536754]"
"[26, 1.176595687866211, 54.60047721862793, 1.954793930053711, 2.5076866149902344, 60.239553451538086, 16.600388659993747]"
"[27, 1.3551712036132812, 54.87704277038574, 1.9390583038330078, 2.490997314453125, 60.662269592285156, 16.484711282994546]"
"[28, 1.2671947479248047, 54.26788330078125, 1.9550323486328125, 5.3043365478515625, 62.79444694519043, 15.924975035974773]"
"[29, 1.2347698211669922, 54.21900749206543, 2.012014389038086, 2.4983882904052734, 59.96417999267578, 16.676622612401992]"
"[30, 1.186370849609375, 55.16958236694336, 1.941680908203125, 2.4983882904052734, 60.79602241516113, 16.44844449150382]"
"[31, 1.188039779663086, 54.40688133239746, 1.947164535522461, 2.505064010620117, 60.047149658203125, 16.653579823391144]"
"[32, 0.8387565612792969, 54.30912971496582, 1.9345283508300781, 4.281282424926758, 61.36369705200195, 16.296280179347107]"
"[33, 1.1703968048095703, 58.93659591674805, 1.936197280883789, 2.5169849395751953, 64.5601749420166, 15.489425189726166]"
"[34, 1.4522075653076172, 55.81355094909668, 1.9292831420898438, 2.5167465209960938, 61.711788177490234, 16.204359483537967]"
"[35, 1.2726783752441406, 56.076765060424805, 1.9295215606689453, 2.496957778930664, 61.775922775268555, 16.187536423176525]"
"[36, 1.1963844299316406, 53.81965637207031, 1.920938491821289, 2.470731735229492, 59.407711029052734, 16.832831675857033]"
"[37, 1.2209415435791016, 55.41729927062988, 1.9366741180419922, 2.519369125366211, 61.09428405761719, 16.368143361118918]"
"[38, 1.276254653930664, 58.55059623718262, 1.9168853759765625, 2.4671554565429688, 64.21089172363281, 15.573681865438884]"
"[39, 0.9870529174804688, 58.188676834106445, 1.9543170928955078, 2.4862289428710938, 63.616275787353516, 15.719247749469693]"
"[40, 1.2691020965576172, 55.646419525146484, 1.9495487213134766, 2.5141239166259766, 61.379194259643555, 16.292165644433915]"
"[41, 1.2156963348388672, 55.58061599731445, 1.9316673278808594, 2.6464462280273438, 61.37442588806152, 16.29343143386566]"
"[42, 1.2629032135009766, 56.18572235107422, 1.9748210906982422, 2.491474151611328, 61.914920806884766, 16.151195656359505]"
"[43, 1.3592243194580078, 55.676937103271484, 1.9261837005615234, 2.500772476196289, 61.463117599487305, 16.26991989759305]"
"[44, 1.1518001556396484, 54.60333824157715, 1.9383430480957031, 2.484560012817383, 60.17804145812988, 16.617357025415505]"
"[45, 1.3883113861083984, 54.25834655761719, 1.941680908203125, 2.4940967559814453, 60.082435607910156, 16.64379930477294]"
"[46, 1.0962486267089844, 56.66160583496094, 1.9500255584716797, 2.493143081665039, 62.20102310180664, 16.07690597569857]"
"[47, 1.2483596801757812, 56.40578269958496, 1.9311904907226562, 2.4747848510742188, 62.06011772155762, 16.113408042289826]"
"[48, 1.1334419250488281, 54.668426513671875, 1.9652843475341797, 2.485513687133789, 60.25266647338867, 16.596775852926978]"
"[49, 0.9095668792724609, 54.63290214538574, 1.920938491821289, 2.4797916412353516, 59.943199157714844, 16.682459629305544]"
"[50, 1.226186752319336, 54.26645278930664, 1.9483566284179688, 3.110647201538086, 60.55164337158203, 16.51482840628101]"
"[51, 1.2061595916748047, 58.110713958740234, 1.9376277923583984, 2.499818801879883, 63.75432014465332, 15.685211570464277]"
"[52, 1.2364387512207031, 57.41310119628906, 1.9762516021728516, 2.513885498046875, 63.13967704772949, 15.837901724522046]"
"[53, 1.247406005859375, 54.212093353271484, 1.9354820251464844, 2.5026798248291016, 59.897661209106445, 16.695142678592042]"
"[54, 1.2392997741699219, 56.24055862426758, 1.9254684448242188, 2.4933815002441406, 61.89870834350586, 16.155425965442067]"
"[55, 1.2166500091552734, 56.259870529174805, 1.9502639770507812, 2.4871826171875, 61.91396713256836, 16.151444436742835]"
"[56, 1.1551380157470703, 57.793617248535156, 1.9528865814208984, 2.494335174560547, 63.39597702026367, 15.77387157674632]"
"[57, 1.1913776397705078, 55.619001388549805, 1.9230842590332031, 2.4802684783935547, 61.21373176574707, 16.336203841105515]"
"[58, 1.110076904296875, 55.5875301361084, 1.9354820251464844, 5.007505416870117, 63.640594482421875, 15.713241023796678]"
"[59, 1.1858940124511719, 54.9769401550293, 1.917123794555664, 2.5098323822021484, 60.58979034423828, 16.504430768262164]"
"[60, 1.2652873992919922, 55.51290512084961, 1.928567886352539, 2.4871826171875, 61.19394302368164, 16.3414866012639]"
"[61, 1.2524127960205078, 55.20153045654297, 1.9249916076660156, 2.505779266357422, 60.884714126586914, 16.42448378620741]"
"[62, 1.2977123260498047, 56.05602264404297, 1.940011978149414, 2.505779266357422, 61.79952621459961, 16.18135382668611]"
"[63, 1.2843608856201172, 55.468082427978516, 1.9266605377197266, 2.4874210357666016, 61.16652488708496, 16.34881173723743]"
"[64, 1.264810562133789, 54.74519729614258, 1.9299983978271484, 2.5146007537841797, 60.454607009887695, 16.54133654092639]"
"[65, 1.0182857513427734, 56.11610412597656, 1.9385814666748047, 2.4962425231933594, 61.5692138671875, 16.24188351920694]"
"[66, 1.0898113250732422, 56.02836608886719, 1.9309520721435547, 2.550840377807617, 61.5999698638916, 16.233774175694453]"
"[67, 1.2023448944091797, 57.863712310791016, 1.9223690032958984, 2.5064945220947266, 63.49492073059082, 15.749291258162264]"
"[68, 1.2173652648925781, 55.63783645629883, 1.9266605377197266, 2.461671829223633, 61.243534088134766, 16.328254319238226]"
"[69, 1.3515949249267578, 54.64935302734375, 2.0966529846191406, 2.473115921020508, 60.570716857910156, 16.509627950183425]"
"[70, 1.1777877807617188, 55.66096305847168, 1.918792724609375, 2.4940967559814453, 61.25164031982422, 16.326093387516153]"
"[71, 1.2345314025878906, 55.66525459289551, 1.9512176513671875, 2.4857521057128906, 61.33675575256348, 16.303438089129884]"
"[72, 1.1839866638183594, 56.241512298583984, 1.926422119140625, 2.4993419647216797, 61.85126304626465, 16.167818582006994]"
"[73, 1.2278556823730469, 54.85963821411133, 1.9245147705078125, 2.5429725646972656, 60.55498123168945, 16.513918089973462]"
