frame_idx,x_gt,y_gt,z_gt,yaw,pitch,roll
"[60, 0.029477749177042885, 0.9388720266756325, 0, 1.7617397615909454, -2.226806562520264, 2.1251484664196694]"
"[61, 0.04270818555768312, 1.4083548410382223, 0, 1.6142179589271564, -2.225783115513892, 2.4326748680931374]"
"[62, 0.04270818555768312, 1.4083548410382223, 0, 1.3113213391304157, -2.298563107932021, 2.4927167194486564]"
"[63, 0.04270818555768312, 1.4083548410382223, 0, 1.1809363822937087, -2.240582443241655, 2.403439837551308]"
"[64, 0.04270818555768312, 1.4083548410382223, 0, 1.1432158975601112, -2.194847641036625, 2.36645876991747]"
"[65, 0.05377214669738997, 1.8778937065142753, 0, 1.3498371248245178, -2.191398533384447, 2.4990953383484267]"
"[66, 0.05377214669738997, 1.8778937065142753, 0, 1.6773735003471302, -2.2805112979493027, 2.7016858104287587]"
"[67, 0.05377214669738997, 1.8778937065142753, 0, 1.909756497859945, -2.4021340383204404, 2.641755551376118]"
"[68, 0.05377214669738997, 1.8778937065142753, 0, 1.983949976205821, -2.3782041664758222, 2.40373594654041]"
"[69, 0.06913564898553813, 2.347311558993367, 0, 1.8745553257465417, -2.4544750037415266, 2.390347554751555]"
"[70, 0.06913564898553813, 2.347311558993367, 0, 1.8762414734363517, -2.6139120173957937, 2.84655798149721]"
"[71, 0.06913564898553813, 2.347311558993367, 0, 2.165164480447771, -2.5505587149491724, 2.9496725559956287]"
"[72, 0.08711076810334792, 2.816636662222824, 0, 2.193352361917505, -2.4676176837517634, 2.607042377144298]"
"[73, 0.08711076810334792, 2.816636662222824, 0, 1.9479925329685273, -2.5392779403216674, 2.517392934112431]"
"[74, 0.08711076810334792, 2.816636662222824, 0, 1.9411538145542124, -2.6786566522604245, 2.732322429238363]"
"[75, 0.10710638866006429, 3.2858800240162456, 0, 2.440038736820213, -2.750081985240576, 2.747288558452773]"
"[76, 0.10710638866006429, 3.2858800240162456, 0, 3.017351603031159, -2.6054381161906823, 2.3743355420830263]"
"[77, 0.133055461856168, 3.754831837136638, 0, 3.1671862227916847, -2.551672088112053, 2.248221250989098]"
"[78, -0.17557273255059014, 8.44137260624142, 0, -3.767724992752079, -2.0568103596623386, 4.383924962546535]"
"[79, -0.2056209331112681, 8.910079618213404, 0, -3.6681385846137857, -2.4829007196112336, 3.4627366165911106]"
"[80, -0.2460039571121865, 9.378009494157633, 0, -4.9324871144294775, -1.9990284360007293, 3.2668491738268726]"
"[81, -0.284815922075798, 9.846072298495152, 0, -4.740145935773853, -1.683369723871173, 2.779165456381618]"
"[82, -0.322813331142518, 10.314201932606107, 0, -4.640442923069003, -1.6985817074910747, 3.211821175181629]"
"[83, -0.37037606361767, 10.781456621087814, 0, -5.8122255692481986, -1.952410093378265, 3.224181215039152]"
"[84, -0.42192061456520025, 11.248288835803399, 0, -6.300702627658836, -1.9910314365222042, 3.586291777789759]"
"[85, -0.4710078446280874, 11.71538582923559, 0, -5.999194141864763, -2.1169137692777316, 3.814141820347171]"
"[86, -0.5183962416572538, 12.182658230791306, 0, -5.79084858560563, -2.023253414329771, 3.583294141231808]"
"[87, -0.567054377403724, 12.649800118502435, 0, -5.946562438964833, -1.852669270826716, 3.25514227282702]"
"[88, -0.567054377403724, 12.649800118502435, 0, -5.427297867298137, -2.022953307096913, 3.508304836914301]"
"[89, -0.6220149778258537, 13.116242494182304, 0, -6.7201383337974505, -2.121461695750054, 3.4488243078485765]"
"[90, -0.735811160696512, 14.048662495296945, 0, -6.95819036912917, -2.2866724544363177, 2.7920102729398653]"
"[91, -0.7888613439734762, 14.515326009494188, 0, -6.485526833057406, -1.9301820464607653, 2.5579704931139284]"
"[92, -0.8442329717212874, 14.981719770461462, 0, -6.770629794359195, -1.6860175017345802, 2.6304536174379276]"
"[93, -0.9000431884716, 15.448061251711975, 0, -6.82451281666755, -1.7507766821068864, 2.2319265592188446]"
"[94, -0.9990400510585244, 16.38216844626328, 0, -6.049635888099658, -1.8270101795922205, 2.565931317113994]"
"[95, -1.0456147722590752, 16.84952265109483, 0, -5.691086437225351, -1.5753569280503168, 2.688584675730452]"
"[96, -1.0927665211367814, 17.31681899176787, 0, -5.761832121849068, -1.7359625846603945, 1.7516273726495641]"
"[97, -1.1940450169636432, 18.250681559813945, 0, -6.189603774786008, -1.4350902885779806, 1.9309754274315154]"
"[98, -1.2512153521036649, 18.71685825400684, 0, -6.991649479866027, -1.6970606557506214, 2.687501171719724]"
"[99, -1.3188772886526552, 19.1816281107866, 0, -8.283021219730387, -2.2035981995643494, 3.4421622036889374]"
"[100, -1.3894180399059386, 19.645969752082387, 0, -8.638077432155598, -2.406307253906688, 3.4352589656939108]"
"[101, -1.3894180399059386, 19.645969752082387, 0, -8.629090296268458, -2.336921418205255, 3.2806801196186988]"
"[102, -1.4593180581588883, 20.110408278560193, 0, -8.559024730205522, -2.2668448689582026, 2.827363486476312]"
"[103, -1.5997174120237905, 21.03919493390623, 0, -8.595994127750402, -2.3734854511658834, 2.629776884394401]"
"[104, -1.6624604759581056, 21.50465434712802, 0, -7.6770888476371795, -2.2213772943365266, 2.3768315496216887]"
