frame_idx,t_capture_ms,t_yolo_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[85, 1.1038780212402344, 1177.3920059204102, 47.90329933166504, 1.8744468688964844, 50.52924156188965, 1230.8995723724365, 0.8124139632875161]"
"[86, 1.149892807006836, 1241.896152496338, 49.51977729797363, 1.8723011016845703, 52.15787887573242, 1297.0762252807617, 0.7709647131829455]"
"[87, 1.0657310485839844, 1293.5309410095215, 55.25517463684082, 1.870870590209961, 57.86752700805664, 1354.335069656372, 0.7383697154454728]"
"[88, 1.1904239654541016, 1287.529468536377, 63.19928169250488, 1.983642578125, 65.83857536315918, 1356.5421104431152, 0.7371684168900215]"
"[89, 0.9510517120361328, 1303.2288551330566, 109.55452919006348, 1.9404888153076172, 112.19167709350586, 1418.3120727539062, 0.7050634477490707]"
"[90, 1.277923583984375, 1221.703052520752, 45.702457427978516, 1.859426498413086, 48.34413528442383, 1273.1845378875732, 0.7854320958524738]"
"[91, 1.1172294616699219, 1294.0468788146973, 39.55197334289551, 1.8644332885742188, 42.19985008239746, 1339.2283916473389, 0.7466986260423694]"
"[92, 1.0628700256347656, 1241.6257858276367, 43.183326721191406, 1.8601417541503906, 45.82929611206055, 1290.3780937194824, 0.7749666588941581]"
"[93, 1.0635852813720703, 1234.9295616149902, 84.31291580200195, 1.8696784973144531, 87.42356300354004, 1325.2863883972168, 0.7545538902043553]"
"[94, 1.676321029663086, 1264.5635604858398, 54.670095443725586, 1.875162124633789, 57.298898696899414, 1325.4139423370361, 0.7544812741570758]"
"[95, 1.1603832244873047, 1231.6646575927734, 47.867536544799805, 1.8758773803710938, 50.507545471191406, 1285.2084636688232, 0.7780838893212294]"
"[96, 1.1527538299560547, 1244.9753284454346, 101.53794288635254, 1.9826889038085938, 104.16316986083984, 1352.273941040039, 0.7394951345663706]"
"[97, 1.100778579711914, 1324.2974281311035, 43.27797889709473, 1.8703937530517578, 45.90177536010742, 1373.1703758239746, 0.7282417517927791]"
"[98, 1.0647773742675781, 1305.2055835723877, 46.239376068115234, 1.8668174743652344, 48.84076118469238, 1356.977939605713, 0.7369316558606418]"
"[99, 1.132965087890625, 1363.149881362915, 43.12300682067871, 1.8718242645263672, 45.75610160827637, 1411.9107723236084, 0.708260054106876]"
"[100, 1.2814998626708984, 1235.5389595031738, 44.084787368774414, 1.875162124633789, 46.70977592468262, 1285.4053974151611, 0.777964681034414]"
"[101, 1.2011528015136719, 1254.8496723175049, 47.58906364440918, 1.8737316131591797, 50.21548271179199, 1308.1400394439697, 0.764444149592007]"
"[102, 1.753091812133789, 1279.3323993682861, 27.5423526763916, 1.878499984741211, 29.990196228027344, 1312.9541873931885, 0.761641197843662]"
"[103, 0.9024143218994141, 1261.2285614013672, 22.632122039794922, 1.855611801147461, 25.105714797973633, 1289.0923023223877, 0.7757396411400733]"
"[104, 1.0068416595458984, 1295.053482055664, 27.587175369262695, 1.8656253814697266, 30.055999755859375, 1327.981948852539, 0.753022283822505]"
"[105, 1.0764598846435547, 1345.2401161193848, 29.35004234313965, 1.871347427368164, 31.868696212768555, 1380.056619644165, 0.7246079514171243]"
"[106, 1.2106895446777344, 1363.6643886566162, 37.436485290527344, 1.8541812896728516, 39.93368148803711, 1406.662940979004, 0.7109023568247442]"
"[107, 1.1646747589111328, 1284.130573272705, 93.81866455078125, 1.8725395202636719, 96.42720222473145, 1383.5949897766113, 0.7227548577358286]"
"[108, 1.0211467742919922, 1256.2828063964844, 117.7976131439209, 1.8701553344726562, 120.43952941894531, 1379.6136379241943, 0.7248406166125092]"
"[109, 1.0328292846679688, 1277.7528762817383, 60.31942367553711, 1.8582344055175781, 62.940120697021484, 1343.5840606689453, 0.744277957199134]"
"[110, 1.0333061218261719, 1297.7838516235352, 60.14299392700195, 1.8696784973144531, 62.7589225769043, 1363.44575881958, 0.7334358506976928]"
"[111, 1.6884803771972656, 1332.704782485962, 95.00813484191895, 1.9862651824951172, 97.65481948852539, 1434.0343475341797, 0.6973333670281321]"
