frame_idx,x,y,z,yaw,pitch,roll
"[37, 10.630111077718038, -0.2996216656141051, -10.634336182611833, -1.3270704951300347, -7.292756427805519, 0.9379940870828168]"
"[38, 11.625588652006531, -0.3515996916334897, -11.630909122965177, -1.4576056517675964, -7.57040118295279, 0.8156396836840767]"
"[39, 12.559017963218635, -0.48505861750925083, -12.568395504342513, -1.3190495419457968, -7.866693131433518, 1.0899299853430513]"
"[40, 13.496323344531746, -0.5634538564830072, -13.508100472973696, -1.4588174126035327, -8.821340219320954, 2.103225255208272]"
"[41, 14.470157144959183, 0.4492067583742475, -14.4771347014148, -1.698683556977804, -8.717731447678645, 1.2943761289782665]"
"[42, 15.466576012186135, 0.39669409668343797, -15.471665822970811, -0.9914450383677224, -7.22431328370025, 0.51079197575803]"
"[43, 16.446598726930308, 0.515562063883358, -16.454685514538845, -0.9915297891123394, -7.277346998934601, 1.4464884946808896]"
"[44, 17.409326130003556, 0.49781440949421807, -17.416447923843805, -0.9182567934139978, -5.479255691153268, 1.8357934838488907]"
"[45, 18.32123696250916, 0.4483211703376219, -18.326724642735673, -0.7327578239798387, -5.770542580179638, 2.3978794315445398]"
"[46, 19.26199847533503, 0.3686939643329817, -19.265528031307035, -0.5548315436134152, -6.4641644210822795, 2.231894092375708]"
"[47, 20.25057492053988, -0.08141058219705274, -20.250738564368678, -0.5941445188954313, -7.874808342590519, 2.4781720888816348]"
"[48, 20.72844978496738, -0.2462703240017583, -20.729912882653732, -0.7885976148050544, -8.419445892966634, 0.3500965371132408]"
"[49, 21.267219003271073, -0.08149642300575252, -21.26737515297991, -0.5787566476857788, -9.497674663095712, 0.9178245381126503]"
"[50, 22.244365498574126, -0.060358478933873215, -22.244447388212585, -0.34420096716679505, -9.288036657220916, 1.7664060976537297]"
"[51, 21.449776972308715, 0.062113055482551666, -21.44986690461733, -0.29014280581834667, -9.434345891871606, 1.7616689639724115]"
"[52, 22.42026918609773, 0.08041916103476422, -22.420413415049964, -0.29676986649030235, -12.939134521726556, 1.2241879796665667]"
"[53, 23.39783509594862, 0.08290804602809979, -23.397981985795422, -0.27983804553992203, -13.559190179994053, 1.3593696701846731]"
"[54, 23.88968705802889, -0.22545932184460393, -23.890751017165496, -0.33000134499618716, -14.357593876084113, 1.1747797827961481]"
"[55, 23.829864236855023, -1.7002245690054254, -23.890751017165496, -0.33000134499618716, -14.357593876084113, 1.1747797827961481]"
"[56, 23.71318876324406, -2.8857382058837406, -23.890751017165496, -0.33000134499618716, -14.357593876084113, 1.1747797827961481]"
"[57, 24.349694060219043, -3.9263936637975596, -24.67257029872244, -0.4403563462870384, -21.449605972299643, 1.087160002676658]"
