frame_id,class_name,mean_conf,std_conf
287,cell phone,0.915,0.0
287,mouse,0.899,0.0
287,person,0.747,0.0
288,cell phone,0.921,0.0
288,mouse,0.916,0.0
288,person,0.716,0.0
289,mouse,0.921,0.0
289,cell phone,0.875,0.0
289,person,0.658,0.0
290,mouse,0.909,0.0
290,cell phone,0.899,0.0
290,person,0.788,0.0
291,cell phone,0.892,0.0
291,mouse,0.832,0.0
291,person,0.743,0.0
292,mouse,0.94,0.0
292,cell phone,0.848,0.0
292,keyboard,0.58,0.0
293,mouse,0.856,0.0
293,cell phone,0.778,0.0
293,keyboard,0.634,0.0
294,mouse,0.939,0.0
294,cell phone,0.751,0.0
294,person,0.576,0.0
294,keyboard,0.533,0.0
295,mouse,0.95,0.0
295,cell phone,0.919,0.0
295,person,0.618,0.0
295,keyboard,0.511,0.0
296,mouse,0.922,0.0
296,cell phone,0.817,0.0
296,keyboard,0.671,0.0
296,person,0.519,0.0
296,cup,0.507,0.0
297,mouse,0.931,0.0
297,cell phone,0.804,0.0
297,keyboard,0.634,0.0
297,person,0.599,0.0
298,cell phone,0.928,0.0
298,mouse,0.926,0.0
298,person,0.667,0.0
299,mouse,0.941,0.0
299,cell phone,0.845,0.0
299,person,0.641,0.0
299,keyboard,0.64,0.0
299,remote,0.532,0.0
300,person,0.836,0.0
300,mouse,0.823,0.0
300,remote,0.809,0.0
300,cup,0.632,0.0
300,keyboard,0.55,0.0
300,laptop,0.525,0.0
301,remote,0.899,0.0
301,mouse,0.815,0.0
301,person,0.731,0.0
301,keyboard,0.664,0.0
301,cup,0.637,0.0
301,laptop,0.559,0.0
302,mouse,0.854,0.0
302,cup,0.839,0.0
302,remote,0.807,0.0
302,person,0.672,0.0
302,keyboard,0.671,0.0
303,mouse,0.877,0.0
303,remote,0.858,0.0
303,person,0.609,0.0
303,laptop,0.532,0.0
304,mouse,0.866,0.0
304,remote,0.723,0.0
304,laptop,0.617,0.0
304,person,0.554,0.0
304,keyboard,0.522,0.0
305,mouse,0.85,0.0
305,remote,0.738,0.0
305,laptop,0.63,0.026
305,keyboard,0.596,0.0
305,person,0.556,0.0
306,mouse,0.877,0.0
306,remote,0.809,0.0
306,laptop,0.767,0.0
306,keyboard,0.712,0.0
306,person,0.687,0.0
307,cell phone,0.949,0.0
307,mouse,0.776,0.0
307,person,0.616,0.0
307,keyboard,0.596,0.0
307,laptop,0.571,0.0
308,mouse,0.925,0.0
308,cell phone,0.83,0.0
308,keyboard,0.656,0.0
308,laptop,0.579,0.0
309,cell phone,0.921,0.0
309,mouse,0.869,0.0
309,person,0.56,0.0
309,keyboard,0.551,0.0
310,cell phone,0.936,0.0
310,mouse,0.888,0.0
310,person,0.658,0.0
310,keyboard,0.552,0.0
311,cell phone,0.949,0.0
311,mouse,0.888,0.0
311,person,0.616,0.0
311,keyboard,0.587,0.0
312,mouse,0.848,0.0
312,remote,0.829,0.0
312,cell phone,0.745,0.0
312,person,0.667,0.0
312,keyboard,0.608,0.0
313,cell phone,0.862,0.0
313,mouse,0.843,0.0
313,remote,0.667,0.0
313,person,0.636,0.0
313,laptop,0.585,0.0
313,keyboard,0.532,0.0
314,cell phone,0.85,0.0
314,mouse,0.819,0.0
314,laptop,0.567,0.0
315,mouse,0.867,0.0
315,cell phone,0.792,0.0
315,remote,0.693,0.0
315,laptop,0.577,0.0
316,mouse,0.891,0.0
316,remote,0.773,0.0
316,laptop,0.726,0.0
316,cell phone,0.707,0.0
317,mouse,0.842,0.0
317,cell phone,0.826,0.0
317,remote,0.75,0.0
317,laptop,0.546,0.022
318,cell phone,0.921,0.0
318,mouse,0.858,0.0
